linha_produto,cod_item,desc_global,score,method
"AMPICILINA SODICO+SULBACTAM SODICO (3G SOLUCAO INJETAVEL IV/IM 6,4ML) ",86477,ampicilina + sulbactam 2 g + 1 g po liof inj fa,0.74,fuzz_token_set
ANASTROZOL (1MG COMPRIMIDO),86479,anastrozol 1 mg com rev,0.88,fuzz_token_set
ANFOTERICINA B (50MG PO LIOF INJ IV C/DILUENTE) ,86480,anfotericina b desoxicolato 50 mg po liof inj fa,0.75,fuzz_token_set
ANTIASTENICO VITAMINA,86943,magnesio + vitamina b3 cap ,0.62,fuzz_token_set
ANTISSEPTICO DEGERMANTE IODOPOVIDONA PVPI 1 LITRO,84230,curativo redondo antiseptico rl c/ 500 und,0.56,fuzz_token_set
ANTISSEPTICO TINTURA IODOPOVIDONA PVPI 1LITRO,84230,curativo redondo antiseptico rl c/ 500 und,0.51,fuzz_token_set
ANTISSÂ¿PTICO TINTURA IODOPOVIDONA PVPI 100ML ,84230,curativo redondo antiseptico rl c/ 500 und,0.54,fuzz_token_set
"APIXABANA (5MG COMPRIMIDO REV)
",111917,apixabana 5 mg com rev,0.98,fuzz_token_set
"APIXABANA SOLIDO ( 2,5MG COMPRIMIDO)",86485,"apixabana 2,5 mg com rev",0.8,fuzz_token_set
ARIPIPRAZOL (10MG COMPRIMIDO),86486,aripiprazol 10 mg com,0.98,fuzz_token_set
ARIPIPRAZOL MONOIDRATADO (15MG COMPRIMIDO) ,115489,aripiprazol 15mg com aristab,0.83,fuzz_token_set
ASPARAGINASE (10.000UI PO LIOF SOL INJ IV FA) ,86444,alfaepoetina 4.000 ui po liof inj fa ,0.68,fuzz_token_set
"ATADURA ALGODAO ORTOP 06CM X 1,8M",88209,"atadura ortopedica algodao 10cmx1,8m ",0.84,fuzz_token_set
"ATADURA ALGODAO ORTOP 10CM X 1,0M",88209,"atadura ortopedica algodao 10cmx1,8m ",0.78,fuzz_token_set
"ATADURA ALGODAO ORTOP 15CM X 1,0M",88209,"atadura ortopedica algodao 10cmx1,8m ",0.78,fuzz_token_set
"ATADURA ALGODAO ORTOP 20CM X 1,0M",88209,"atadura ortopedica algodao 10cmx1,8m ",0.78,fuzz_token_set
"ATADURA CREPOM 08 X 1,8M 13F",88076,"atadura crepom cysne 8cm x 1,80m embalagem individual",0.78,fuzz_token_set
"ATADURA CREPOM 10 X 1,8M 13F",88076,"atadura crepom cysne 8cm x 1,80m embalagem individual",0.78,fuzz_token_set
"ATADURA CREPOM 12 X 1,8M 13F",88076,"atadura crepom cysne 8cm x 1,80m embalagem individual",0.78,fuzz_token_set
"ATADURA CREPOM 15 X 1,8M 13F",88076,"atadura crepom cysne 8cm x 1,80m embalagem individual",0.78,fuzz_token_set
"ATADURA CREPOM 20 X 1,8M 13F",88076,"atadura crepom cysne 8cm x 1,80m embalagem individual",0.78,fuzz_token_set
"ATADURA CREPOM 30 X 1,8M 13F",88076,"atadura crepom cysne 8cm x 1,80m embalagem individual",0.78,fuzz_token_set
"ATADURA DE CREPOM 12 X 1,8M 13 F ECOMAX",88076,"atadura crepom cysne 8cm x 1,80m embalagem individual",0.63,fuzz_token_set
"ATADURA DE CREPOM 15 X 1,8M 13 F ECOMAX",88076,"atadura crepom cysne 8cm x 1,80m embalagem individual",0.63,fuzz_token_set
"ATADURA DE CREPOM 20 X 1,8M 13F ECOMAX",88076,"atadura crepom cysne 8cm x 1,80m embalagem individual",0.64,fuzz_token_set
ATADURA GESSADA ORTOP BRANCO 08CM X 2M,88077,atadura gessada cysne 08cm x 2m  embalagem individual,0.79,fuzz_token_set
ATADURA GESSADA ORTOP BRANCO 10CM X 3M,87460,atadura gessada cysne 10cm x 3m  embalagem individual,0.79,fuzz_token_set
ATADURA GESSADA ORTOP BRANCO 12CM X 3M,87460,atadura gessada cysne 10cm x 3m  embalagem individual,0.69,fuzz_token_set
