NUM_NOTA,DT_EMISSAO_NOTA,DT_ENTRADA,COD_PRODUTO,DESCRICAO_PRODUTO,MARCA,PRINCIPIO_ATIVO,LINHA_PRODUTO,CUSTO_ENTRADA,QT_ENTRADA,QT_ESTOQUE_ANTERIOR,CUSTO_MED_ANTERIOR,COD_FORNECEDOR,RAZAO_SOCIAL
312178,2025-03-20,2025-04-04,1324,"ALFAST 0,544MG/ML SOL INJ 5ML (A1) VP",CRISTALIA,CLORIDRATO DE ALFENTANILA MONOIDRATADO,"CLORIDRATO DE ALFENTANILA (0,544MG/ML SOLUCAO INJETAVEL 5ML) A1",22.8,480,90,19.0,4,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA
139137,2023-02-14,2023-03-01,1663,"ALFAST 0,544MG/ML SOL INJ 10ML (A1) VP",CRISTALIA,CLORIDRATO DE ALFENTANILA MONOIDRATADO,"CLORIDRATO DE ALFENTANILA (0,544MG/ML SOLUCAO INJETAVEL 5ML) A1",17.1,50,0,17.11,4,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA
337420,2024-12-23,2025-01-08,318,AMBROXOL 3MG/ML XPE 100ML PED C/AÇUCAR,FARMACE,CLORIDRATO DE AMBROXOL,CLORIDRATO DE AMBROXOL (3MG/ML XPE FR 100ML),2.0,1020,438,2.0,157,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
125300,2023-06-22,2023-07-11,2915,AMBROXOL 3MG/ML XPE 120ML PED S/AÇUCAR,LABORATORIO GLOBO,CLORIDRATO DE AMBROXOL,CLORIDRATO DE AMBROXOL (3MG/ML XPE FR 120ML),4.98,60,0,0.0,1218,LABORATORIO GLOBO SA
690758,2026-02-27,2026-03-12,5854,AMIORON 200MG CX C/ 500 COMP,GEOLAB,CLORIDRATO DE AMIODARONA,CLORIDRATO DE AMIODARONA (100MG COMPRIMIDO),0.34,7500,0,0.34,238,GEOLAB INDUSTRIA FARMACEUTICA S/A
56189,2025-08-18,2025-08-27,4028,AMIODARONA 200MG CP,ZYDUS,CLORIDRATO DE AMIODARONA,CLORIDRATO DE AMIODARONA (200MG COMPRIMIDO),0.36,7680,750,0.35,1088,ZYDUS NIKKHO FARMACEUTICA LTDA
8264,2025-08-15,2025-08-25,5587,AMITRIPTILINA 25MG CP (C1),TEUTO,CLORIDRATO DE AMITRIPTILINA,CLORIDRATO DE AMITRIPTILINA (25MG COMPRIMIDO SIMPLES) (C1),0.0399,5000,0,0.03,721,LABORATORIO TEUTO BRASILEIRO S/A
1471859,2024-09-25,2024-10-02,4890,AMITRIPTILINA 25MG CP (C1),NEO QUIMICA,CLORIDRATO DE AMITRIPTILINA,CLORIDRATO DE AMITRIPTILINA (25MG COMPRIMIDO SIMPLES) (C1),0.03555,300000,17200,0.04,1170,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.
2689694,2024-04-30,2024-05-09,3032,AMITRIPTILINA 25MG CP REV BL AL 30 (C1),EMS,CLORIDRATO DE AMITRIPTILINA,CLORIDRATO DE AMITRIPTILINA (25MG COMPRIMIDO SIMPLES) (C1),0.051667,40320,0,0.05,7,EMS S/A
312178,2025-03-20,2025-04-04,5418,AMYTRIL 25MG  CP (C1),CRISTALIA,CLORIDRATO DE AMITRIPTILINA,CLORIDRATO DE AMITRIPTILINA (25MG COMPRIMIDO SIMPLES) (C1),0.1,8000,0,0.0,4,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA
3504795,2025-12-29,2026-01-08,5459,"MONBOC 0,5MG CP",EMS ONCO,ANAGRELIDA,"CLORIDRATO DE ANEGRELIDA (0,5 MG CAP DURA)",25.60046,4000,900,26.65,7,EMS S/A
488812,2025-06-23,2025-06-27,4937,SCEMBLIX  40MG CP,NOVARTIS,CLORIDRATO DE ASCIMINIBE,"CLORIDRATO DE ASCIMINIBE (40MG COMPRIMIDO) ORAL
",268.1505,360,0,268.56,830,NOVARTIS BIOCIENCIAS SA
175491,2025-12-19,2025-12-22,4745,CLORIDRATO DE BENDAMUSTINA 100MG,NATCOFARMA,CLORIDRATO DE BENDAMUSTINA,CLORIDRATO DE BENDAMUSTINA (100MG PO LIOFILO INJETAVEL IV ),690.0,20,0,693.02,1063,NATCOFARMA DO BRASIL LTDA
430083,2025-06-26,2025-07-15,1481,PROLOPA 125MG COMPRIMIDO P/ SUSPENSAO VP,ROCHE,CLORIDRATO DE BENSERAZIDA+LEVODOPA,CLORIDRATO DE BENSERAZIDA+LEVODOPA SOLIDO (125MG COMPRIMIDO P/ SUSPENSAO),1.928876,30000,12120,1.93,1202,DIVCOM S/A
