cod_produto,desc_unimed,linha_produto,principio_ativo,best_cod_item,best_desc_global,sim_desc,sim_linha,best_sim,sim_bin
1606,"GLICOFISIOLOGICO 5%+ 0,9% MG/ML 250ML",GLICOSE+CLORETO DE SODIO INJETAVEL ( 59 MG/ML INJ 500ML),GLICOSE+CLORETO DE SODIO,86649,"cloreto de sodio 0,9% (9 mg/ml) sol inj iv amp 10 ml",0.4578313253012048,0.6407766990291263,0.6407766990291263,0.6-0.7
1407,GLICOFISIOLOGICO 59 MG/ML INJ 500 ML,GLICOSE+CLORETO DE SODIO INJETAVEL ( 59 MG/ML INJ 500ML),GLICOSE+CLORETO DE SODIO,86912,levofloxacino 5 mg/ml sol inj bols 100 ml,0.6493506493506493,0.4631578947368421,0.6493506493506493,0.6-0.7
2679,GLIMEPIL 1MG CP,GLIMEPIRIDA (1MG COMPRIMIDO),GLIMEPIRIDA,86535,bromoprida 10 mg com,0.5,0.7,0.7,0.6-0.7
2680,GLIMEPIL 2 MG CP,GLIMEPIRIDA (2MG COMPRIMIDO),GLIMEPIRIDA,87148,"ramipril 2,5 mg com",0.7222222222222222,0.6153846153846154,0.7222222222222222,0.7-0.8
4021,GLIMEPIL 4 MG CP VP,GLIMEPIRIDA (4MG COMPRIMIDO),GLIMEPIRIDA,86933,linagliptina 5 mg com rev,0.6666666666666666,0.6222222222222222,0.6666666666666666,0.6-0.7
2260,GLIMEPIL 4 MG CP,GLIMEPIRIDA (4MG COMPRIMIDO),GLIMEPIRIDA,87149,ramipril 5 mg com,0.7058823529411765,0.5945945945945946,0.7058823529411765,0.7-0.8
3439,HALDOL 1MG CP (C1),HALOPERIDOL (1MG COMPRIMIDO) C1,HALOPERIDOL,86608,haloperidol 5 mg com,0.6842105263157895,0.8571428571428571,0.8571428571428571,0.8-0.9
5410,"HALO 0,2% (2 MG/ML)  SOL ORAL 20ML (C1)",HALOPERIDOL (2MG/ML SOL OR 20ML) (C1),HALOPERIDOL,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.5753424657534246,0.7123287671232876,0.7123287671232876,0.7-0.8
1445,HALOPERIDOL 2MG/ML SOL OR 20ML (C1),HALOPERIDOL (2MG/ML SOL OR 20ML) (C1),HALOPERIDOL,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.7123287671232876,0.7123287671232876,0.7123287671232876,0.7-0.8
3442,HALDOL 2MG/ML SOL OR 30ML (C1),HALOPERIDOL (2MG/ML SOL OR 30ML) C1,HALOPERIDOL,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.6176470588235294,0.7222222222222222,0.7222222222222222,0.7-0.8
1326,HALO DECANOATO 50MG/ML INJ IM 1ML (C1)VP,HALOPERIDOL (50MG/ML SOLUCAO INJETAVEL IM 1ML) C1,DECANOATO DE HALOPERIDOL,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.6153846153846154,0.868421052631579,0.868421052631579,0.8-0.9
3441,HALDOL DECANOATO 50MG INJ IM 1ML (C1),HALOPERIDOL (50MG/ML SOLUCAO INJETAVEL IM 1ML) C1,DECANOATO DE HALOPERIDOL,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.56,0.868421052631579,0.868421052631579,0.8-0.9
984,HALO 5MG CP (C1) VP,HALOPERIDOL (5MG COMPRIMIDO) C1,HALOPERIDOL,86608,haloperidol 5 mg com,0.631578947368421,0.9047619047619048,0.9047619047619048,0.9-1.0
3440,HALDOL 5MG CP (C1),HALOPERIDOL (5MG COMPRIMIDO) C1,HALOPERIDOL,86608,haloperidol 5 mg com,0.7368421052631579,0.9047619047619048,0.9047619047619048,0.9-1.0
2843,HALOPERIDOL 5MG/ML INJ IM 1ML (C1) VP,HALOPERIDOL (5MG/ML SOLUCAO INJETAVEL IM 1ML) C4,HALOPERIDOL,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.7837837837837838,0.88,0.88,0.8-0.9
1182,HALO 5MG/ML INJ IM 1ML (C1) VP,HALOPERIDOL (5MG/ML SOLUCAO INJETAVEL IM 1ML) C4,HALOPERIDOL,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.6567164179104478,0.88,0.88,0.8-0.9
2789,ABRILAR 7MG/ML SOL OR 100ML VP,HEDERA HELIX L. LIQUIDO (7MG/ML SOLUCAO ORAL 100ML),HEDERA HELIX L.,86536,bromoprida 4mg/ml solução oral 20 ml ,0.6774193548387096,0.5454545454545454,0.6774193548387096,0.6-0.7
1484,ABRILAR 7MG/ML SOL OR 100ML,HEDERA HELIX L. LIQUIDO (7MG/ML SOLUCAO ORAL 100ML),HEDERA HELIX L.,86536,bromoprida 4mg/ml solução oral 20 ml ,0.711864406779661,0.5454545454545454,0.711864406779661,0.7-0.8
1517,ABRILAR 7MG/ML SOL OR 200ML,HEDERA HELIX L. LIQUIDO (7MG/ML SOLUCAO ORAL 200ML),HEDERA HELIX L.,86536,bromoprida 4mg/ml solução oral 20 ml ,0.7457627118644068,0.5714285714285714,0.7457627118644068,0.7-0.8
3876,ABRILAR 7MG/ML SOL OR 200ML VP,HEDERA HELIX L. LIQUIDO (7MG/ML SOLUCAO ORAL 200ML),HEDERA HELIX L.,86536,bromoprida 4mg/ml solução oral 20 ml ,0.7096774193548387,0.5714285714285714,0.7096774193548387,0.7-0.8
4222,"BISOPROLOL 1,25 MG CP VP","HEMIFUMARATO DE BISOPROLOL (1,25MG COMPRIMIDO REVESTIDO)",HEMIFUMARATO DE BISOPROLOL,83651,"bisoprolol 1,25 mg com rev",0.9411764705882353,0.6756756756756757,0.9411764705882353,0.9-1.0
173,"BISOPROLOL 1,25 MG CP","HEMIFUMARATO DE BISOPROLOL (1,25MG COMPRIMIDO REVESTIDO)",HEMIFUMARATO DE BISOPROLOL,83651,"bisoprolol 1,25 mg com rev",0.9166666666666666,0.6756756756756757,0.9166666666666666,0.9-1.0
928,"BISOPROLOL 2,5 MG CP VP","HEMIFUMARATO DE BISOPROLOL (2,5MG COMPRIMIDO REVESTIDO)",HEMIFUMARATO DE BISOPROLOL,86525,"bisoprolol 2,5 mg com rev",0.9387755102040817,0.6666666666666666,0.9387755102040817,0.9-1.0
1912,BISOPROLOL 5 MG CP VP,HEMIFUMARATO DE BISOPROLOL (5MG COMPRIMIDO REVESTIDO),HEMIFUMARATO DE BISOPROLOL,86526,bisoprolol 5 mg com rev,0.9333333333333333,0.6470588235294118,0.9333333333333333,0.9-1.0
3734,QUETIAPINA 100MG 30 CP (C1),HEMIFUMARATO DE QUETIAPINA SOLIDO (100MG CP) C1,HEMIFUMARATO DE QUETIAPINA,87142,quetiapina 100 mg com rev,0.8076923076923077,0.5915492957746479,0.8076923076923077,0.8-0.9
1660,QUETIPIN 100 MG CP (C1),HEMIFUMARATO DE QUETIAPINA SOLIDO (100MG CP) C1,HEMIFUMARATO DE QUETIAPINA,87142,quetiapina 100 mg com rev,0.8333333333333334,0.5915492957746479,0.8333333333333334,0.8-0.9
167,QUETIAPINA 100 MG CP (C1),HEMIFUMARATO DE QUETIAPINA SOLIDO (100MG CP) C1,HEMIFUMARATO DE QUETIAPINA,87142,quetiapina 100 mg com rev,0.88,0.5915492957746479,0.88,0.8-0.9
